CustomerKey,EnglishProductSubcategoryName,FirstName,LastName,MiddleName,Number of Records,ProductSubcategoryAlternateKey
27670,Road Bikes,Kayla,Long,W,1,2
19941,Road Bikes,Cedric,Liang,R,1,2
11017,Mountain Bikes,Shannon,Wang,,1,1
27646,Road Bikes,Jackson,Li,L,1,2
13257,Road Bikes,Jon,Chander,L,1,2
16352,Road Bikes,Tiffany,Gao,E,1,2
16493,Road Bikes,Brenda,Fernandez,L,1,2
27578,Road Bikes,Courtney,Carter,,1,2
16525,Road Bikes,Martha,Liang,,1,2
16612,Road Bikes,Ebony,Ashe,E,1,2
11010,Mountain Bikes,Jacquelyn,Suarez,C,1,1
16518,Road Bikes,Krystal,Holt,,1,2
11001,Mountain Bikes,Eugene,Huang,L,1,1
27649,Road Bikes,Evan,Bailey,C,1,2
21659,Road Bikes,Gabrielle,Jenkins,B,1,2
27614,Road Bikes,Warren,Ye,,1,2
14559,Road Bikes,Ashley,Washington,,1,2
16524,Road Bikes,Damien,Huang,,1,2
16526,Road Bikes,Arthur,Perez,L,1,2
16348,Road Bikes,Roy,Raman,,1,2
11027,Mountain Bikes,Jessie,Zhao,R,1,1
13260,Road Bikes,James,Flores,V,1,2
16515,Road Bikes,Troy,Sai,,1,2
11018,Mountain Bikes,Clarence,Rai,D,1,1
25252,Road Bikes,Warren,Zhang,L,1,2
11599,Road Bikes,Melody,Diaz,,1,2
16495,Road Bikes,Monique,Ramos,,1,2
16516,Road Bikes,Melvin,She,,1,2
16620,Road Bikes,Cameron,Thompson,M,1,2
27667,Road Bikes,Jessica,Sanchez,M,1,2
11601,Road Bikes,Ivan,Raman,S,1,2
11607,Road Bikes,Clinton,Moreno,H,1,2
29385,Mountain Bikes,Don,Lal,A,1,1
11239,Mountain Bikes,Latoya,Goel,C,1,1
25865,Mountain Bikes,Tristan,Butler,,1,1
25857,Mountain Bikes,Abigail,Perry,M,1,1
16484,Road Bikes,Dustin,Lal,A,1,2
16623,Road Bikes,Andres,Lal,L,1,2
11000,Mountain Bikes,Jon,Yang,V,1,1
11029,Mountain Bikes,Jimmy,Moreno,L,1,1
27615,Road Bikes,Maria,Henderson,E,1,2
17956,Road Bikes,Jaime,Gomez,,1,2
16345,Road Bikes,Francis,Ramos,,1,2
16521,Road Bikes,Tonya,She,L,1,2
16636,Road Bikes,Danny,Gomez,V,1,2
21710,Road Bikes,Brittany,Gonzales,,1,2
13583,Road Bikes,Blake,Butler,,1,2
11593,Road Bikes,Armando,Moreno,,1,2
21741,Road Bikes,Alexa,Sanders,E,1,2
13585,Road Bikes,Savannah,Morris,,1,2
14510,Road Bikes,Samuel,Hernandez,R,1,2
16523,Road Bikes,Sandra,Huang,C,1,2
11611,Road Bikes,Ernest,Lin,,1,2
13259,Road Bikes,Allen,Garcia,F,1,2
16350,Road Bikes,Fernando,Thompson,,1,2
11004,Mountain Bikes,Elizabeth,Johnson,,1,1
11026,Mountain Bikes,Harold,Sai,,1,1
27662,Road Bikes,Bianca,Zheng,G,1,2
28390,Mountain Bikes,Frederick,Suri,,1,1
25866,Mountain Bikes,Tristan,Perry,G,1,1
16494,Road Bikes,Jordyn,Simmons,,1,2
16496,Road Bikes,Dawn,Tang,R,1,2
16519,Road Bikes,Yolanda,Chander,,1,2
16528,Road Bikes,Dominique,Garcia,,1,2
11006,Mountain Bikes,Janet,Alvarez,G,1,1
27651,Road Bikes,Jeremy,Murphy,,1,2
27663,Road Bikes,Aaron,Collins,P,1,2
27669,Road Bikes,Katelyn,Allen,I,1,2
19942,Road Bikes,Armando,Navarro,,1,2
14558,Road Bikes,Marcel,Truempy,,1,2
16349,Road Bikes,Levi,Sai,,1,2
11008,Mountain Bikes,Rob,Verhoff,,1,1
25250,Road Bikes,Anthony,Walker,T,1,2
27605,Road Bikes,Miguel,Martinez,,1,2
27611,Road Bikes,Jack,Edwards,W,1,2
16347,Road Bikes,Raul,Sharma,E,1,2
11028,Mountain Bikes,Jill,Jimenez,,1,1
13584,Road Bikes,Isaiah,Cox,E,1,2
21727,Road Bikes,Arianna,Flores,,1,2
28393,Mountain Bikes,Ramon,Zheng,R,1,1
19802,Mountain Bikes,Sara,James,,1,1
26620,Road Bikes,Isabella,Green,,1,2
11009,Mountain Bikes,Shannon,Carlson,C,1,1
27641,Road Bikes,Miranda,Alexander,,1,2
27673,Road Bikes,Jennifer,Young,M,1,2
17957,Road Bikes,Misty,Yuan,J,1,2
13406,Road Bikes,Craig,Jiménez,,1,2
16630,Road Bikes,Jaime,Sutton,L,1,2
22041,Road Bikes,Paige,Morris,W,1,2
12124,Road Bikes,Brandi,Gill,D,1,2
28066,Road Bikes,Justin,Taylor,G,1,2
16743,Road Bikes,Ariana,Stewart,,1,2
13546,Road Bikes,Mitchell,Jai,D,1,2
28018,Road Bikes,Rachel,Foster,,1,2
12132,Road Bikes,Kaitlyn,Henderson,J,1,2
16661,Road Bikes,Shane,Raman,,1,2
11055,Mountain Bikes,Gilbert,Raje,,1,1
16662,Road Bikes,Stacey,Gao,,1,2
16740,Road Bikes,Elijah,Li,,1,2
25270,Road Bikes,Gloria,Diaz,,1,2
28038,Road Bikes,Philip,Gomez,,1,2
13548,Road Bikes,Bridget,Jai,M,1,2
16741,Road Bikes,Alan,Xu,,1,2
11031,Mountain Bikes,Theresa,Ramos,G,1,1
11034,Mountain Bikes,Ebony,Gonzalez,,1,1
20048,Road Bikes,Virginia,Srini,,1,2
28065,Road Bikes,Carrie,Gill,,1,2
17047,Road Bikes,Kendra,Rubio,,1,2
16686,Road Bikes,Kristine,Alonso,,1,2
16659,Road Bikes,Emily,Jones,,1,2
25294,Road Bikes,Sharon,Sharma,T,1,2
13600,Road Bikes,Marie,Sanz,,1,2
17051,Road Bikes,Jessie,Ortega,J,1,2
14565,Road Bikes,Natalie,Hernandez,L,1,2
11054,Mountain Bikes,Deanna,Munoz,,1,1
16675,Road Bikes,Kristi,Arthur,W,1,2
16687,Road Bikes,Lawrence,Romero,C,1,2
16712,Road Bikes,Suzanne,Lu,K,1,2
11047,Mountain Bikes,Jaclyn,Lu,D,1,1
27726,Road Bikes,Sophia,Hall,,1,2
28014,Road Bikes,Rachel,Robinson,J,1,2
16696,Road Bikes,Claudia,Zeng,M,1,2
16639,Road Bikes,Renee,Romero,E,1,2
20049,Road Bikes,Colleen,Chavez,H,1,2
13602,Road Bikes,Virginia,Mehta,,1,2
13661,Road Bikes,Andre,Sara,M,1,2
11030,Mountain Bikes,Bethany,Yuan,G,1,1
28068,Road Bikes,Amanda,Wood,S,1,2
16658,Road Bikes,Ashlee,Raje,E,1,2
11035,Mountain Bikes,Wendy,Dominguez,,1,1
11046,Mountain Bikes,Christine,Yuan,,1,1
28031,Road Bikes,Kari,Navarro,,1,2
28076,Road Bikes,Logan,Williams,M,1,2
16685,Road Bikes,Robin,Dominguez,,1,2
16745,Road Bikes,Krista,Moreno,J,1,2
11038,Mountain Bikes,Diana,Hernandez,F,1,1
11039,Mountain Bikes,Marc,Martin,J,1,1
28040,Road Bikes,Jack,Mitchell,L,1,2
28067,Road Bikes,Olivia,Bennett,D,1,2
28071,Road Bikes,Trevor,Ross,L,1,2
16684,Road Bikes,Joel,Perez,,1,2
16657,Road Bikes,Alvin,She,E,1,2
21939,Road Bikes,Thomas,Roberts,J,1,2
28039,Road Bikes,Xavier,Lee,E,1,2
13687,Road Bikes,Mario,Xie,,1,2
13540,Road Bikes,Paula,Ortega,,1,2
28063,Road Bikes,Gabrielle,Turner,A,1,2
16703,Road Bikes,Denise,Sanchez,,1,2
28030,Road Bikes,Jason,Gonzalez,,1,2
14576,Road Bikes,Anna,Price,,1,2
11048,Mountain Bikes,Jeremy,Powell,,1,1
16664,Road Bikes,Sophia,Nelson,,1,2
25271,Road Bikes,Mario,Shan,,1,2
28017,Road Bikes,Christopher,Martin,B,1,2
13545,Road Bikes,Brad,Sharma,J,1,2
13515,Road Bikes,Cara,Liang,M,1,2
28070,Road Bikes,Ian,Morris,A,1,2
28042,Road Bikes,Joseph,Brown,M,1,2
11244,Mountain Bikes,Alexis,Coleman,M,1,1
28083,Road Bikes,Kaitlyn,Foster,M,1,2
25872,Mountain Bikes,Melanie,Ross,H,1,1
16660,Road Bikes,Lee,Blanco,M,1,2
16638,Road Bikes,Dennis,Ye,M,1,2
16929,Road Bikes,Savannah,Scott,E,1,2
27681,Road Bikes,Olivia,Jackson,,1,2
21813,Road Bikes,Dalton,Brown,N,1,2
27920,Road Bikes,Mary,Howard,W,1,2
28022,Road Bikes,Jason,Lopez,R,1,2
11033,Mountain Bikes,Jaime,Nath,,1,1
28047,Road Bikes,Jay,Sanchez,W,1,2
27918,Road Bikes,Samantha,Ross,R,1,2
28044,Road Bikes,Jimmy,Navarro,E,1,2
14572,Road Bikes,Melanie,Foster,,1,2
19325,Road Bikes,Kelli,Chen,,1,2
28061,Road Bikes,Kyle,Lopez,,1,2
26629,Road Bikes,Miranda,Price,,1,2
16744,Road Bikes,Lacey,Guo,,1,2
25555,Road Bikes,Trisha,Lu,,1,2
27678,Road Bikes,Angel,Carter,,1,2
27759,Road Bikes,Alexandria,Brooks,,1,2
13680,Road Bikes,Jan,Watson,K,1,2
13514,Road Bikes,Lindsay,Luo,,1,2
11052,Mountain Bikes,Heidi,Lopez,,1,1
16928,Road Bikes,Bryan,Stewart,M,1,2
27917,Road Bikes,Andrea,Sanders,L,1,2
13693,Road Bikes,Dominic,Gonzalez,L,1,2
11247,Mountain Bikes,Claudia,Zhou,M,1,1
28078,Road Bikes,Jack,Young,L,1,2
25876,Mountain Bikes,Noah,King,,1,1
16701,Road Bikes,Laura,Zheng,,1,2
16931,Road Bikes,Dalton,Lee,J,1,2
11032,Mountain Bikes,Denise,Stone,,1,1
22008,Road Bikes,Alisha,Ye,J,1,2
19830,Mountain Bikes,Gabrielle,Long,,1,1
16663,Road Bikes,Rosa,Lu,A,1,2
16708,Road Bikes,Kellie,Sanz,,1,2
17045,Road Bikes,Derek,Goel,,1,2
21921,Road Bikes,Lucas,Collins,T,1,2
17048,Road Bikes,Natasha,Gutierrez,,1,2
11050,Mountain Bikes,Alan,Zheng,,1,1
12131,Road Bikes,Randall,Dominguez,M,1,2
13689,Road Bikes,Teresa,Ramos,,1,2
11243,Mountain Bikes,Robin,Alvarez,V,1,1
16693,Road Bikes,Ethan,Coleman,G,1,2
16702,Road Bikes,Patricia,Raman,T,1,2
16707,Road Bikes,Derrick,Serrano,,1,2
17046,Road Bikes,Preston,Sai,D,1,2
25272,Road Bikes,Edwin,Xu,J,1,2
25868,Mountain Bikes,Jessica,Lewis,W,1,1
17971,Road Bikes,Mayra,Perez,,1,2
11057,Mountain Bikes,Carl,Andersen,J,1,1
16742,Road Bikes,Mitchell,Pal,R,1,2
13678,Road Bikes,Warren,Goel,A,1,2
13679,Road Bikes,Sandra,Li,,1,2
13690,Road Bikes,Claudia,Gao,,1,2
28394,Mountain Bikes,Alisha,Zhang,G,1,1
28064,Road Bikes,Tamara,Nath,,1,2
25878,Mountain Bikes,Brianna,Simmons,E,1,1
16713,Road Bikes,Tony,Nara,L,1,2
13538,Road Bikes,Vanessa,Henderson,,1,2
17050,Road Bikes,Cristina,Xie,C,1,2
13691,Road Bikes,Ariana,Bailey,J,1,2
16637,Road Bikes,Evan,King,,1,2
19329,Road Bikes,Nancy,Srini,K,1,2
13542,Road Bikes,Sharon,Kumar,C,1,2
13543,Road Bikes,Phillip,Rana,,1,2
13559,Road Bikes,Lori,Ramos,M,1,2
14577,Road Bikes,Natalie,Rogers,A,1,2
11056,Mountain Bikes,Michele,Nath,L,1,1
16688,Road Bikes,Tabitha,Gomez,L,1,2
25273,Road Bikes,Karl,Rai,M,1,2
27919,Road Bikes,Ryan,Lal,,1,2
28041,Road Bikes,Rebecca,Wright,J,1,2
11240,Mountain Bikes,Anne,Hernandez,B,1,1
22050,Road Bikes,Richard,Bailey,N,1,2
28062,Road Bikes,Xavier,Roberts,C,1,2
25867,Mountain Bikes,Carlos,Carter,A,1,1
17049,Road Bikes,Krystal,Lu,,1,2
13541,Road Bikes,Ashlee,Xu,,1,2
28395,Mountain Bikes,Shannon,Dominguez,L,1,1
19829,Mountain Bikes,Lucas,Mitchell,C,1,1
16691,Road Bikes,Paula,Romero,B,1,2
16656,Road Bikes,Ronnie,Zhang,,1,2
11044,Mountain Bikes,Adam,Flores,L,1,1
13821,Road Bikes,Allen,Lopez,O,1,2
28156,Road Bikes,Gabrielle,Hall,J,1,2
22114,Road Bikes,Lucas,Martin,L,1,2
17328,Road Bikes,Michelle,Cox,E,1,2
13765,Road Bikes,Jaime,Shen,,1,2
13792,Road Bikes,Charles,Taylor,,1,2
12221,Road Bikes,Brandi,Ruiz,,1,2
13572,Road Bikes,Shaun,Deng,,1,2
22058,Road Bikes,Jake,Zukowski,,1,2
28145,Road Bikes,Brandon,Jones,C,1,2
17071,Road Bikes,Tammy,Raji,K,1,2
17309,Road Bikes,Amy,Ma,E,1,2
17310,Road Bikes,Alejandro,Wang,,1,2
17320,Road Bikes,Alan,Zhu,,1,2
28172,Road Bikes,Charles,Moore,,1,2
17242,Road Bikes,Dale,Chande,K,1,2
17315,Road Bikes,Carolyn,Munoz,L,1,2
25558,Road Bikes,Zachary,Wilson,,1,2
11334,Mountain Bikes,Nicole,Brown,,1,1
28168,Road Bikes,Jacqueline,Ward,,1,2
28181,Road Bikes,Katherine,Rodriguez,J,1,2
28131,Road Bikes,Todd,Zhu,G,1,2
25887,Mountain Bikes,Jack,Collins,J,1,1
17055,Road Bikes,Willie,She,,1,2
13567,Road Bikes,Anne,Rubio,T,1,2
28182,Road Bikes,Fernando,Turner,,1,2
28186,Road Bikes,Jenny,Wagner,M,1,2
13772,Road Bikes,Michele,Perez,K,1,2
28185,Road Bikes,Eric,Alexander,S,1,2
28193,Road Bikes,Taylor,Davis,,1,2
28088,Road Bikes,Marshall,Lal,L,1,2
17065,Road Bikes,Cedric,Chen,R,1,2
14581,Road Bikes,Kevin,Adams,M,1,2
17308,Road Bikes,Deborah,Kumar,K,1,2
12211,Road Bikes,Victor,Romero,C,1,2
28179,Road Bikes,Billy,Alvarez,A,1,2
28183,Road Bikes,Nicole,Howard,M,1,2
28112,Road Bikes,Savannah,Evans,K,1,2
14584,Road Bikes,Gabrielle,Mitchell,,1,2
13784,Road Bikes,Spencer,Griffin,,1,2
17229,Road Bikes,Maria,Watson,,1,2
17246,Road Bikes,Micah,Wu,,1,2
12220,Road Bikes,Virginia,Sara,C,1,2
11337,Mountain Bikes,Jerome,Romero,,1,1
28097,Road Bikes,Jennifer,Barnes,A,1,2
25888,Mountain Bikes,Morgan,Edwards,D,1,1
11058,Mountain Bikes,Marc,Diaz,,1,1
17294,Road Bikes,Ruth,Arun,S,1,2
17299,Road Bikes,Jaclyn,Ferrier,D,1,2
28158,Road Bikes,Clarence,Luo,M,1,2
17247,Road Bikes,Michael,Moore,,1,2
17280,Road Bikes,Deanna,Mehta,P,1,2
25889,Mountain Bikes,Reginald,Munoz,C,1,1
17069,Road Bikes,Christy,Zheng,,1,2
20052,Road Bikes,Theodore,Ruiz,,1,2
20054,Road Bikes,Clarence,Nara,G,1,2
11061,Mountain Bikes,Todd,Gao,M,1,1
17248,Road Bikes,Alicia,Beck,L,1,2
13570,Road Bikes,Benjamin,Jackson,J,1,2
28164,Road Bikes,Gabrielle,Coleman,,1,2
17064,Road Bikes,Stephanie,Gray,,1,2
17249,Road Bikes,Carl,Goel,S,1,2
17295,Road Bikes,Victor,Sanz,,1,2
28096,Road Bikes,Alexandra,Stewart,S,1,2
28150,Road Bikes,Connor,Chen,M,1,2
17259,Road Bikes,Trisha,Wang,V,1,2
17312,Road Bikes,Mayra,Kovar,J,1,2
12254,Road Bikes,Calvin,Deng,,1,2
28159,Road Bikes,Tamara,Yang,R,1,2
28149,Road Bikes,William,Miller,,1,2
14580,Road Bikes,Kyle,Diaz,,1,2
17285,Road Bikes,Clayton,Deng,G,1,2
11250,Mountain Bikes,Shannon,Liu,D,1,1
28162,Road Bikes,Bruce,Ward,R,1,2
25879,Mountain Bikes,Alyssa,Wood,S,1,1
17257,Road Bikes,Darren,Rana,M,1,2
13783,Road Bikes,Logan,Wright,M,1,2
28154,Road Bikes,Katherine,Patterson,E,1,2
28170,Road Bikes,Isabella,Johnson,P,1,2
17351,Road Bikes,Terrence,Sharma,N,1,2
17332,Road Bikes,Jonathan,Green,A,1,2
28180,Road Bikes,Jerry,Chander,M,1,2
13560,Road Bikes,Andres,Shan,T,1,2
28148,Road Bikes,Jon,Zhao,,1,2
22109,Road Bikes,Jonathan,Mitchell,L,1,2
14590,Road Bikes,Marissa,Butler,E,1,2
11060,Mountain Bikes,Jon,Zhou,L,1,1
17255,Road Bikes,Carly,Nath,J,1,2
17258,Road Bikes,Fernando,Green,,1,2
13847,Road Bikes,Kurt,Tang,G,1,2
28166,Road Bikes,Cassidy,Coleman,,1,2
20060,Road Bikes,Kayla,Jackson,R,1,2
12255,Road Bikes,Robyn,Alvarez,M,1,2
28401,Mountain Bikes,Maria,Alexander,F,1,1
11333,Mountain Bikes,Emily,Miller,R,1,1
25886,Mountain Bikes,Rachel,Rogers,,1,1
17241,Road Bikes,Omar,Chander,W,1,2
17973,Road Bikes,Johnathan,Rodriguez,A,1,2
17334,Road Bikes,Luis,Lopez,P,1,2
13841,Road Bikes,Clayton,Kumar,,1,2
28184,Road Bikes,Madison,Russell,,1,2
22117,Road Bikes,Sydney,Perez,C,1,2
28191,Road Bikes,Mya,Long,O,1,2
17056,Road Bikes,Shaun,Lal,H,1,2
17079,Road Bikes,Tracy,Rai,K,1,2
12217,Road Bikes,Kyle,Roberts,,1,2
13580,Road Bikes,Carol,Xu,P,1,2
28155,Road Bikes,Taylor,Watson,,1,2
28163,Road Bikes,Rachel,Washington,,1,2
17278,Road Bikes,Isabella,Price,L,1,2
17329,Road Bikes,Jasmine,Wilson,,1,2
25556,Road Bikes,Joan,Martin,R,1,2
12219,Road Bikes,Kurt,Nara,,1,2
17233,Road Bikes,Michele,Raman,,1,2
17240,Road Bikes,Dustin,Luo,,1,2
13845,Road Bikes,Shawn,Nara,C,1,2
28167,Road Bikes,Samuel,Hughes,W,1,2
28190,Road Bikes,Kimberly,Cook,R,1,2
13777,Road Bikes,Manuel,Perez,C,1,2
28099,Road Bikes,Jesse,Turner,,1,2
28142,Road Bikes,Willie,Lin,B,1,2
14585,Road Bikes,Kimberly,Torres,,1,2
17232,Road Bikes,Walter,Jimenez,,1,2
12212,Road Bikes,Shawna,Xie,J,1,2
13579,Road Bikes,Alan,Chen,,1,2
28171,Road Bikes,Aidan,Henderson,,1,2
28194,Road Bikes,Lydia,Garcia,P,1,2
22112,Road Bikes,Paige,Reed,,1,2
20149,Road Bikes,Heidi,Arun,Z,1,2
17279,Road Bikes,Tanya,Alvarez,,1,2
17286,Road Bikes,Randall,Rubio,M,1,2
25557,Road Bikes,Tyrone,Navarro,K,1,2
25559,Road Bikes,Troy,Sanchez,H,1,2
19339,Road Bikes,Lance,Gomez,L,1,2
13820,Road Bikes,Danny,Alvarez,,1,2
14589,Road Bikes,Mackenzie,Cook,R,1,2
13794,Road Bikes,Mallory,Martin,J,1,2
13846,Road Bikes,Lisa,Zheng,R,1,2
12256,Road Bikes,Wendy,Ramos,,1,2
28147,Road Bikes,Omar,Black,,1,2
28152,Road Bikes,Ian,Rivera,,1,2
17256,Road Bikes,Noah,Flores,,1,2
17277,Road Bikes,Nichole,Goel,A,1,2
17288,Road Bikes,Dwayne,Torres,R,1,2
17293,Road Bikes,Alexandra,Allen,B,1,2
17326,Road Bikes,Paul,Shakespear,J.,1,2
14429,Road Bikes,Lacey,He,,1,2
28222,Road Bikes,Eduardo,Lewis,,1,2
17975,Road Bikes,Candace,Sai,B,1,2
11072,Mountain Bikes,Casey,Luo,,1,1
12267,Road Bikes,Clifford,Garcia,,1,2
11095,Mountain Bikes,Chad,Kumar,,1,1
17728,Road Bikes,Maria,Perry,N,1,2
28598,Road Bikes,Wyatt,Russell,A,1,2
17921,Road Bikes,Karen,Li,K,1,2
17904,Road Bikes,Gina,Torres,,1,2
28199,Road Bikes,Alyssa,Jones,M,1,2
28257,Road Bikes,Zachary,Martin,E,1,2
17510,Road Bikes,Jason,Butler,,1,2
11343,Mountain Bikes,Arthur,Carlson,P,1,1
28273,Road Bikes,Madeline,Mitchell,,1,2
20165,Road Bikes,Kristina,Mehta,R,1,2
25895,Mountain Bikes,Jesse,Richardson,M,1,1
11097,Mountain Bikes,Edwin,Nara,R,1,1
18188,Road Bikes,Jeffery,Wang,E,1,2
18189,Road Bikes,Nancy,Mehta,,1,2
17354,Road Bikes,Ivan,Garcia,L,1,2
25905,Mountain Bikes,Nathan,Hayes,K,1,1
14610,Road Bikes,Lauren,Jenkins,S,1,2
17920,Road Bikes,Bradley,Yuan,,1,2
14427,Road Bikes,Emmanuel,Patel,,1,2
28200,Road Bikes,Morgan,Henderson,W,1,2
14602,Road Bikes,Kaylee,Kelly,W,1,2
17911,Road Bikes,Pedro,Rodriguez,L,1,2
14159,Road Bikes,Jay,Malhotra,,1,2
28243,Road Bikes,Marcus,Cook,,1,2
28244,Road Bikes,Samantha,Davis,P,1,2
28271,Road Bikes,Sean,Gonzalez,,1,2
28297,Road Bikes,Gabrielle,Edwards,,1,2
14591,Road Bikes,Charles,Harris,E,1,2
14603,Road Bikes,Sara,Ward,,1,2
11093,Mountain Bikes,Aimee,He,A,1,1
11099,Mountain Bikes,Adam,Ross,,1,1
17511,Road Bikes,Tabitha,Subram,C,1,2
17732,Road Bikes,Allen,Rodriguez,L,1,2
14525,Road Bikes,Claudia,Sun,J,1,2
14158,Road Bikes,Craig,Moreno,N,1,2
13686,Road Bikes,Peter,Jai,,1,2
28259,Road Bikes,Samuel,Mitchell,C,1,2
28285,Road Bikes,Savannah,King,H,1,2
11092,Mountain Bikes,Cheryl,Diaz,A,1,1
17912,Road Bikes,Louis,Zhou,C,1,2
17502,Road Bikes,Wayne,Kumar,,1,2
25562,Road Bikes,Bonnie,Sharma,R,1,2
14150,Road Bikes,Billy,Munoz,J,1,2
28250,Road Bikes,Tyrone,Dominguez,L,1,2
18193,Road Bikes,Louis,Yuan,C,1,2
17514,Road Bikes,Cedric,Zhou,,1,2
17736,Road Bikes,Kristine,Vazquez,M,1,2
13767,Road Bikes,Linda,Jimenez,,1,2
14157,Road Bikes,Willie,Xu,J,1,2
14183,Road Bikes,Robyn,Carlson,M,1,2
29399,Mountain Bikes,Janet,Gomez,,1,1
28234,Road Bikes,Jack,Nelson,I,1,2
25903,Mountain Bikes,Marshall,Rai,A,1,1
11080,Mountain Bikes,Damien,Chander,,1,1
17915,Road Bikes,Aimee,Li,,1,2
14191,Road Bikes,Derrick,Martin,,1,2
11341,Mountain Bikes,Randy,Zeng,A,1,1
28268,Road Bikes,Jordan,Campbell,T,1,2
28296,Road Bikes,Thomas,Butler,C,1,2
28298,Road Bikes,Maria,Edwards,G,1,2
28587,Road Bikes,Xavier,Harris,L,1,2
11096,Mountain Bikes,Andrés,Anand,,1,1
17924,Road Bikes,Shawna,Lal,,1,2
17925,Road Bikes,Bradley,Raji,E,1,2
17353,Road Bikes,Bruce,Navarro,D,1,2
17730,Road Bikes,Bridget,Tang,,1,2
17910,Road Bikes,Dustin,Nara,M,1,2
29398,Mountain Bikes,Bruce,Suri,G,1,1
28246,Road Bikes,Alexa,Gray,,1,2
28339,Road Bikes,Sean,Edwards,R,1,2
25901,Mountain Bikes,Lucas,Harris,E,1,1
14596,Road Bikes,Amber,Hill,W,1,2
17733,Road Bikes,Alberto,Gill,P,1,2
28240,Road Bikes,Eduardo,Clark,,1,2
28588,Road Bikes,Emma,Griffin,R,1,2
17515,Road Bikes,Lacey,Li,,1,2
13666,Road Bikes,Teresa,Ruiz,,1,2
19844,Mountain Bikes,Emma,Murphy,,1,1
28221,Road Bikes,Isabella,Rodriguez,,1,2
28224,Road Bikes,Spencer,Henderson,,1,2
28299,Road Bikes,Jonathan,Shan,,1,2
11077,Mountain Bikes,Leah,Ye,,1,1
11103,Mountain Bikes,Cassie,Chande,,1,1
25563,Road Bikes,Natasha,Serrano,,1,2
28223,Road Bikes,Jessica,Davis,,1,2
28584,Road Bikes,Rolando,Smith,T.,1,2
11100,Mountain Bikes,Latasha,Navarro,L,1,1
13606,Road Bikes,Drew,Sharma,,1,2
28340,Road Bikes,Lucas,Butler,,1,2
28355,Road Bikes,Carlos,James,,1,2
11069,Mountain Bikes,Carolyn,Navarro,,1,1
17917,Road Bikes,Cristina,Raje,S,1,2
17919,Road Bikes,Bruce,Hernandez,,1,2
17352,Road Bikes,Drew,Goel,,1,2
17512,Road Bikes,Cesar,Suri,,1,2
